bgg_id,name,overall_rank,community,manual_label,community_type,average_rating,average_weight,owned,year_published,degree,weighted_degree_strength,betweenness,weighted_clustering,degree_rank,strength_rank,betweenness_rank,internal_degree,external_degree,internal_strength,external_strength,internal_strength_share,community_internal_strength_rank
224517,Brass: Birmingham,1,7,,tiny_fragment,8.56572,3.8632,83197,2018,2182,1727.6159945949912,0.04831865492393915,0.006609012357376244,16,12,11,3,2179,4.885756969451904,1722.7302376255393,0.0028280341144892463,1
342942,Ark Nova,2,24,Ark Nova universal-appeal micro-cluster,bridge_singleton,8.54109,3.7975,87986,2021,2243,1826.9659191407263,0.06922978382706164,0.006527402353400269,13,10,9,7,2236,4.274605184793472,1822.6913139559329,0.0023397290228620903,1
161936,Pandemic Legacy: Season 1,3,4,Legacy + narrative mystery,shared_culture,8.50433,2.8278,89210,2015,1301,889.672314837575,0.0001088871096877502,0.009544801916237092,59,53,144,35,1266,27.198382407426834,862.4739324301481,0.030571236121236803,1
174430,Gloomhaven,4,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.5412,3.9179,104327,2017,1546,1060.0515449531376,0.016533467254765736,0.00796656832769037,43,38,16,217,1329,147.65999936312437,912.3915455900133,0.13929511264440642,3
397598,Dune: Imperium – Uprising,5,19,Recent releases / new-hotness cluster,temporal_artifact,8.70166,3.5241,27702,2023,467,351.9219868257642,0.0,0.02242522070958204,133,124,175,123,344,74.8976179137826,277.0243689119816,0.2128244915566024,13
316554,Dune: Imperium,6,16,Unmatched / skirmish series cluster,franchise_series,8.41393,3.0762,77374,2020,1862,1291.868806436658,0.005096877502001601,0.0070036644494530665,27,26,35,19,1843,7.981284022331238,1283.8875224143267,0.006178091755575314,14
233078,Twilight Imperium: Fourth Edition,7,9,Amerithrash / miniatures / LCG,taste_specialist,8.56498,4.3501,33610,2017,322,236.82170633226633,0.0,0.028824714222266543,189,171,175,95,227,48.593355782330036,188.2283505499363,0.20518961937615818,24
115746,War of the Ring: Second Edition,8,20,Historical wargames + conflict strategy,taste_specialist,8.5524,4.2231,41301,2011,740,467.1830895021558,0.0004123298638911129,0.012430179678332572,100,100,103,178,562,77.89554616063833,389.28754334151745,0.16673451567702535,3
167791,Terraforming Mars,9,0,Terraforming Mars universal-appeal micro-cluster,bridge_singleton,8.33884,3.2704,158835,2016,2480,2247.9217717163265,0.22966773418734987,0.006383745274734956,2,2,1,5,2475,2.819191098213196,2245.1025806181133,0.001254132209441032,1
187645,Star Wars: Rebellion,10,9,Amerithrash / miniatures / LCG,taste_specialist,8.42252,3.753,57178,2016,1143,729.7859638817608,0.00489351481184948,0.009047171781303367,65,64,37,222,921,129.47589189186692,600.3100719898939,0.17741625394270322,2
162886,Spirit Island,11,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.3413,4.0747,97109,2017,1937,1458.997916072607,0.03366693354683747,0.007171990055423334,24,20,12,228,1709,183.5719443038106,1275.4259717687964,0.12582056648713894,1
291457,Gloomhaven: Jaws of the Lion,12,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.36267,3.6379,88401,2020,1469,982.7827808111906,0.007807846277021618,0.008254606262202983,45,45,27,227,1242,152.09116210788488,830.6916187033057,0.15475562360010883,2
220308,Gaia Project,13,2,Current heavy euro engine builders,taste_specialist,8.35275,4.4031,38490,2017,932,728.230782687664,0.0018748465706432882,0.01402133937964887,87,65,67,187,745,144.7670540139079,583.4637286737561,0.19879282427422196,3
12333,Twilight Struggle,14,20,Historical wargames + conflict strategy,taste_specialist,8.22934,3.6146,73380,2005,1458,1046.5548845380545,0.08992364232067016,0.008376136488174243,47,39,7,197,1261,142.99222929775715,903.5626552402973,0.13663137157003802,1
84876,The Castles of Burgundy,15,42,,tiny_fragment,8.16039,2.9714,83890,2011,2056,1373.331116013229,0.01599599679743795,0.006217220272624797,20,23,18,4,2052,2.5413767099380493,1370.7897393032908,0.0018505200095630609,1
418059,SETI: Search for Extraterrestrial Intelligence,16,2,Current heavy euro engine builders,taste_specialist,8.4175,3.8256,29873,2024,853,609.8899666666985,0.0026778938180604603,0.013005604300084692,93,81,49,185,668,141.89157273620367,467.9983939304948,0.23265110182366164,6
338960,Slay the Spire: The Board Game,17,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.65444,2.9029,20564,2024,237,153.31235031038523,0.0,0.032131606258050914,248,258,175,99,138,43.044953748583794,110.26739656180143,0.28076638093042117,22
182028,Through the Ages: A New Story of Civilization,18,8,Medium worker-placement euros,taste_specialist,8.2482,4.4414,40111,2015,735,529.3813790380955,0.0,0.015006358397485155,101,94,175,103,632,69.05540180206299,460.3259772360325,0.1304454681189185,11
193738,Great Western Trail,19,8,Medium worker-placement euros,taste_specialist,8.15006,3.6934,47020,2016,942,676.6808210909367,0.0,0.012571959667652541,84,69,175,153,789,99.28114030510187,577.3996807858348,0.14671782797839905,4
421006,The Lord of the Rings: Duel for Middle-earth,20,19,Recent releases / new-hotness cluster,temporal_artifact,8.35779,2.0759,40092,2024,951,616.7367234379053,8.00640512409928e-07,0.011227194659961245,82,80,171,220,731,135.2722990140319,481.4644244238734,0.21933556714439992,7
295770,Frosthaven,21,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.74156,4.4116,24419,2022,218,153.77086468040943,0.0,0.03688825763011102,267,254,175,91,127,46.65431521832943,107.11654946208,0.3034015274303991,18
246900,Eclipse: Second Dawn for the Galaxy,22,5,Area-control crossover / Root-Eclipse cluster,bridge_cluster,8.38985,3.671,21895,2020,246,195.6642596051097,0.0,0.037891184102344974,237,205,175,20,226,11.423916459083557,184.24034314602613,0.05838529980968086,4
28720,Brass: Lancashire,23,20,Historical wargames + conflict strategy,taste_specialist,8.19713,3.8449,35752,2007,1087,641.9827934503555,0.005013229020089819,0.008506919833396138,67,75,36,180,907,83.40268812328577,558.5801053270698,0.12991421105702156,2
173346,7 Wonders Duel,24,33,,tiny_fragment,8.07792,2.2275,183398,2015,2455,2268.689633540809,0.19021297037630105,0.006538993548430909,5,1,2,4,2451,3.8448014557361603,2264.844832085073,0.0016947234204686993,1
167355,Nemesis,25,12,Dungeon crawl / cooperative campaign adventure,taste_specialist,8.25165,3.4862,50384,2018,680,437.8333733230829,0.005302642113690953,0.013154284804698288,104,106,33,176,504,98.15290989726782,339.6804634258151,0.22417868503787972,7
